2022-09-18 01:32:52,513 Total file length = 102916800
2022-09-18 01:32:52,663 Total encoded file length = 106106400
2022-09-18 01:32:52,663 The total number of chunks = 103620
2022-09-18 01:32:52,810 sending chunk 0 to client ('127.0.0.1', 47258) 
2022-09-18 01:32:52,810 sending chunk 1 to client ('127.0.0.1', 47260) 
2022-09-18 01:32:52,811 sending chunk 2 to client ('127.0.0.1', 47262) 
2022-09-18 01:32:52,811 sending chunk 3 to client ('127.0.0.1', 47264) 
2022-09-18 01:32:52,811 sending chunk 4 to client ('127.0.0.1', 47266) 
2022-09-18 01:32:52,811 sending chunk 5 to client ('127.0.0.1', 47258) 
2022-09-18 01:32:52,811 sending chunk 6 to client ('127.0.0.1', 47260) 
2022-09-18 01:32:52,811 sending chunk 7 to client ('127.0.0.1', 47262) 
2022-09-18 01:32:52,812 sending chunk 8 to client ('127.0.0.1', 47264) 
2022-09-18 01:32:52,812 sending chunk 9 to client ('127.0.0.1', 47266) 
2022-09-18 01:32:52,812 sending chunk 10 to client ('127.0.0.1', 47258) 
2022-09-18 01:32:52,812 sending chunk 11 to client ('127.0.0.1', 47260) 
2022-09-18 01:32:52,812 sending chunk 12 to client ('127.0.0.1', 47262) 
2022-09-18 01:32:52,812 sending chunk 13 to client ('127.0.0.1', 47264) 
2022-09-18 01:32:52,812 sending chunk 14 to client ('127.0.0.1', 47266) 
2022-09-18 01:32:52,812 sending chunk 15 to client ('127.0.0.1', 47258) 
2022-09-18 01:32:52,812 sending chunk 16 to client ('127.0.0.1', 47260) 
2022-09-18 01:32:52,813 sending chunk 17 to client ('127.0.0.1', 47262) 
2022-09-18 01:32:52,813 sending chunk 18 to client ('127.0.0.1', 47264) 
2022-09-18 01:32:52,813 sending chunk 19 to client ('127.0.0.1', 47266) 
2022-09-18 01:32:52,813 sending chunk 20 to client ('127.0.0.1', 47258) 
2022-09-18 01:32:52,813 sending chunk 21 to client ('127.0.0.1', 47260) 
2022-09-18 01:32:52,813 sending chunk 22 to client ('127.0.0.1', 47262) 
2022-09-18 01:32:52,813 sending chunk 23 to client ('127.0.0.1', 47264) 
2022-09-18 01:32:52,813 sending chunk 24 to client ('127.0.0.1', 47266) 
2022-09-18 01:32:52,813 sending chunk 25 to client ('127.0.0.1', 47258) 
2022-09-18 01:32:52,814 sending chunk 26 to client ('127.0.0.1', 47260) 
2022-09-18 01:32:52,814 sending chunk 27 to client ('127.0.0.1', 47262) 
2022-09-18 01:32:52,814 sending chunk 28 to client ('127.0.0.1', 47264) 
2022-09-18 01:32:52,814 sending chunk 29 to client ('127.0.0.1', 47266) 
2022-09-18 01:32:52,814 sending chunk 30 to client ('127.0.0.1', 47258) 
2022-09-18 01:32:52,814 sending chunk 31 to client ('127.0.0.1', 47260) 
2022-09-18 01:32:52,814 sending chunk 32 to client ('127.0.0.1', 47262) 
2022-09-18 01:32:52,814 sending chunk 33 to client ('127.0.0.1', 47264) 
2022-09-18 01:32:52,814 sending chunk 34 to client ('127.0.0.1', 47266) 
2022-09-18 01:32:52,815 sending chunk 35 to client ('127.0.0.1', 47258) 
2022-09-18 01:32:52,815 sending chunk 36 to client ('127.0.0.1', 47260) 
2022-09-18 01:32:52,815 sending chunk 37 to client ('127.0.0.1', 47262) 
2022-09-18 01:32:52,815 sending chunk 38 to client ('127.0.0.1', 47264) 
2022-09-18 01:32:52,815 sending chunk 39 to client ('127.0.0.1', 47266) 
2022-09-18 01:32:52,815 sending chunk 40 to client ('127.0.0.1', 47258) 
2022-09-18 01:32:52,815 sending chunk 41 to client ('127.0.0.1', 47260) 
2022-09-18 01:32:52,815 sending chunk 42 to client ('127.0.0.1', 47262) 
2022-09-18 01:32:52,815 sending chunk 43 to client ('127.0.0.1', 47264) 
2022-09-18 01:32:52,816 sending chunk 44 to client ('127.0.0.1', 47266) 
2022-09-18 01:32:52,816 sending chunk 45 to client ('127.0.0.1', 47258) 
2022-09-18 01:32:52,816 sending chunk 46 to client ('127.0.0.1', 47260) 
2022-09-18 01:32:52,816 sending chunk 47 to client ('127.0.0.1', 47262) 
2022-09-18 01:32:52,816 sending chunk 48 to client ('127.0.0.1', 47264) 
2022-09-18 01:32:52,816 sending chunk 49 to client ('127.0.0.1', 47266) 
